Method,R_e,A@e,RA@e,Run,max info loss,gini,p value
SPH,3,0.39666666666666667,1.6470588235294117,1,0.25,,
SPH,4,0.48333333333333334,2.0689655172413794,1,0.25,,
SPH,5,0.5366666666666666,2.360248447204969,1,0.25,,
SPH,6,0.5633333333333334,2.532544378698225,1,0.25,,
SPH,7,0.5866666666666667,2.710227272727273,1,0.25,,
SPH,8,0.6,2.827777777777778,1,0.25,,
SPH,9,0.63,3.121693121693122,1,0.25,,
SPH,10,0.6666666666666666,3.5,1,0.25,,
SPH,1,0.22333333333333333,1.0,1,0.3,,
SPH,2,0.3333333333333333,1.33,1,0.3,,
SPH,3,0.4066666666666667,1.6311475409836065,1,0.3,,
SPH,4,0.4866666666666667,2.0205479452054793,1,0.3,,
SPH,5,0.54,2.314814814814815,1,0.3,,
SPH,6,0.5633333333333334,2.467455621301775,1,0.3,,
SPH,7,0.5866666666666667,2.647727272727273,1,0.3,,
SPH,8,0.6,2.7666666666666666,1,0.3,,
SPH,9,0.63,3.0634920634920637,1,0.3,,
SPH,10,0.6666666666666666,3.445,1,0.3,,
SPH,1,0.22333333333333333,1.0,1,0.35,,
SPH,2,0.3333333333333333,1.33,1,0.35,,
SPH,3,0.4066666666666667,1.6311475409836065,1,0.35,,
SPH,4,0.4866666666666667,2.0205479452054793,1,0.35,,
SPH,5,0.54,2.314814814814815,1,0.35,,
SPH,6,0.5633333333333334,2.467455621301775,1,0.35,,
SPH,7,0.5866666666666667,2.647727272727273,1,0.35,,
SPH,8,0.6,2.7666666666666666,1,0.35,,
SPH,9,0.63,3.0634920634920637,1,0.35,,
SPH,10,0.6666666666666666,3.445,1,0.35,,
SPH,1,0.22333333333333333,1.0,1,0.4,,
SPH,2,0.3333333333333333,1.33,1,0.4,,
SPH,3,0.4066666666666667,1.6311475409836065,1,0.4,,
SPH,4,0.4866666666666667,2.0205479452054793,1,0.4,,
SPH,5,0.54,2.314814814814815,1,0.4,,
SPH,6,0.5633333333333334,2.467455621301775,1,0.4,,
SPH,7,0.5866666666666667,2.647727272727273,1,0.4,,
SPH,8,0.6,2.7666666666666666,1,0.4,,
SPH,9,0.63,3.0634920634920637,1,0.4,,
SPH,10,0.6666666666666666,3.445,1,0.4,,
RF,1,0.19,1.0,1,,,
RF,2,0.31333333333333335,1.3936170212765957,1,,,
RF,3,0.35333333333333333,1.5754716981132075,1,,,
RF,4,0.42,1.9603174603174602,1,,,
RF,5,0.44333333333333336,2.1203007518796992,1,,,
RF,6,0.4766666666666667,2.3916083916083917,1,,,
RF,7,0.49666666666666665,2.577181208053691,1,,,
RF,8,0.53,2.9182389937106916,1,,,
RF,9,0.54,3.0308641975308643,1,,,
RF,10,0.5766666666666667,3.4739884393063583,1,,,
RF+B,1,0.14333333333333334,1.0,1,,,
RF+B,2,0.22,1.3484848484848484,1,,,
RF+B,3,0.2866666666666667,1.7325581395348837,1,,,
RF+B,4,0.3433333333333333,2.1067961165048543,1,,,
RF+B,5,0.37666666666666665,2.3628318584070795,1,,,
RF+B,6,0.4066666666666667,2.6311475409836067,1,,,
RF+B,7,0.43333333333333335,2.9,1,,,
RF+B,8,0.46,3.1956521739130435,1,,,
RF+B,9,0.49,3.5510204081632653,1,,,
RF+B,10,0.5333333333333333,4.075,1,,,
CPI,1,0.16,1.0,1,,0.2,0.7
CPI,2,0.25,1.36,1,,0.2,0.7
CPI,3,0.3,1.6333333333333333,1,,0.2,0.7
CPI,4,0.35333333333333333,1.990566037735849,1,,0.2,0.7
CPI,5,0.41,2.4065040650406506,1,,0.2,0.7
CPI,6,0.44333333333333336,2.6766917293233083,1,,0.2,0.7
CPI,7,0.4633333333333333,2.8633093525179856,1,,0.2,0.7
CPI,8,0.5066666666666667,3.3026315789473686,1,,0.2,0.7
CPI,9,0.5333333333333333,3.5875,1,,0.2,0.7
CPI,10,0.5666666666666667,3.9647058823529413,1,,0.2,0.7
CPI,1,0.15333333333333332,1.0,1,,0.2,0.75
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.2,0.75
CPI,3,0.3,1.7444444444444445,1,,0.2,0.75
CPI,4,0.36,2.1203703703703702,1,,0.2,0.75
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.2,0.75
CPI,6,0.43,2.643410852713178,1,,0.2,0.75
CPI,7,0.46,2.927536231884058,1,,0.2,0.75
CPI,8,0.49,3.238095238095238,1,,0.2,0.75
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.2,0.75
CPI,10,0.55,3.909090909090909,1,,0.2,0.75
CPI,1,0.15333333333333332,1.0,1,,0.2,0.8
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.2,0.8
CPI,3,0.3,1.7444444444444445,1,,0.2,0.8
CPI,4,0.36,2.1203703703703702,1,,0.2,0.8
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.2,0.8
CPI,6,0.43,2.643410852713178,1,,0.2,0.8
CPI,7,0.46,2.927536231884058,1,,0.2,0.8
CPI,8,0.49,3.238095238095238,1,,0.2,0.8
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.2,0.8
CPI,10,0.55,3.909090909090909,1,,0.2,0.8
CPI,1,0.12,1.0,1,,0.2,0.85
CPI,2,0.19,1.368421052631579,1,,0.2,0.85
CPI,3,0.25,1.76,1,,0.2,0.85
CPI,4,0.32,2.25,1,,0.2,0.85
CPI,5,0.3466666666666667,2.4615384615384617,1,,0.2,0.85
CPI,6,0.37666666666666665,2.743362831858407,1,,0.2,0.85
CPI,7,0.4033333333333333,3.024793388429752,1,,0.2,0.85
CPI,8,0.42333333333333334,3.2598425196850394,1,,0.2,0.85
CPI,9,0.4533333333333333,3.639705882352941,1,,0.2,0.85
CPI,10,0.4766666666666667,3.9510489510489513,1,,0.2,0.85
CPI,1,0.12666666666666668,1.0,1,,0.2,0.9
CPI,2,0.17333333333333334,1.2692307692307692,1,,0.2,0.9
CPI,3,0.24,1.75,1,,0.2,0.9
CPI,4,0.28,2.0714285714285716,1,,0.2,0.9
CPI,5,0.31333333333333335,2.382978723404255,1,,0.2,0.9
CPI,6,0.36666666666666664,2.909090909090909,1,,0.2,0.9
CPI,7,0.38666666666666666,3.1206896551724137,1,,0.2,0.9
CPI,8,0.42333333333333334,3.543307086614173,1,,0.2,0.9
CPI,9,0.4533333333333333,3.9044117647058822,1,,0.2,0.9
CPI,10,0.48,4.243055555555555,1,,0.2,0.9
CPI,1,0.16,1.0,1,,0.25,0.7
CPI,2,0.25,1.36,1,,0.25,0.7
CPI,3,0.3,1.6333333333333333,1,,0.25,0.7
CPI,4,0.35333333333333333,1.990566037735849,1,,0.25,0.7
CPI,5,0.41,2.4065040650406506,1,,0.25,0.7
CPI,6,0.44333333333333336,2.6766917293233083,1,,0.25,0.7
CPI,7,0.4633333333333333,2.8633093525179856,1,,0.25,0.7
CPI,8,0.5066666666666667,3.3026315789473686,1,,0.25,0.7
CPI,9,0.5333333333333333,3.5875,1,,0.25,0.7
CPI,10,0.5666666666666667,3.9647058823529413,1,,0.25,0.7
CPI,1,0.15333333333333332,1.0,1,,0.25,0.75
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.25,0.75
CPI,3,0.3,1.7444444444444445,1,,0.25,0.75
CPI,4,0.36,2.1203703703703702,1,,0.25,0.75
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.25,0.75
CPI,6,0.43,2.643410852713178,1,,0.25,0.75
CPI,7,0.46,2.927536231884058,1,,0.25,0.75
CPI,8,0.49,3.238095238095238,1,,0.25,0.75
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.25,0.75
CPI,10,0.55,3.909090909090909,1,,0.25,0.75
CPI,1,0.15333333333333332,1.0,1,,0.25,0.8
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.25,0.8
CPI,3,0.3,1.7444444444444445,1,,0.25,0.8
CPI,4,0.36,2.1203703703703702,1,,0.25,0.8
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.25,0.8
CPI,6,0.43,2.643410852713178,1,,0.25,0.8
CPI,7,0.46,2.927536231884058,1,,0.25,0.8
CPI,8,0.49,3.238095238095238,1,,0.25,0.8
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.25,0.8
CPI,10,0.55,3.909090909090909,1,,0.25,0.8
CPI,1,0.12,1.0,1,,0.25,0.85
CPI,2,0.19,1.368421052631579,1,,0.25,0.85
CPI,3,0.25,1.76,1,,0.25,0.85
CPI,4,0.32,2.25,1,,0.25,0.85
CPI,5,0.3466666666666667,2.4615384615384617,1,,0.25,0.85
CPI,6,0.37666666666666665,2.743362831858407,1,,0.25,0.85
CPI,7,0.4033333333333333,3.024793388429752,1,,0.25,0.85
CPI,8,0.42333333333333334,3.2598425196850394,1,,0.25,0.85
CPI,9,0.4533333333333333,3.639705882352941,1,,0.25,0.85
CPI,10,0.4766666666666667,3.9510489510489513,1,,0.25,0.85
CPI,1,0.12666666666666668,1.0,1,,0.25,0.9
CPI,2,0.17333333333333334,1.2692307692307692,1,,0.25,0.9
CPI,3,0.24,1.75,1,,0.25,0.9
CPI,4,0.28,2.0714285714285716,1,,0.25,0.9
CPI,5,0.31333333333333335,2.382978723404255,1,,0.25,0.9
CPI,6,0.36666666666666664,2.909090909090909,1,,0.25,0.9
CPI,7,0.38666666666666666,3.1206896551724137,1,,0.25,0.9
CPI,8,0.42333333333333334,3.543307086614173,1,,0.25,0.9
CPI,9,0.4533333333333333,3.9044117647058822,1,,0.25,0.9
CPI,10,0.48,4.243055555555555,1,,0.25,0.9
CPI,1,0.16,1.0,1,,0.3,0.7
CPI,2,0.25,1.36,1,,0.3,0.7
CPI,3,0.3,1.6333333333333333,1,,0.3,0.7
CPI,4,0.35333333333333333,1.990566037735849,1,,0.3,0.7
CPI,5,0.41,2.4065040650406506,1,,0.3,0.7
CPI,6,0.44333333333333336,2.6766917293233083,1,,0.3,0.7
CPI,7,0.4633333333333333,2.8633093525179856,1,,0.3,0.7
CPI,8,0.5066666666666667,3.3026315789473686,1,,0.3,0.7
CPI,9,0.5333333333333333,3.5875,1,,0.3,0.7
CPI,10,0.5666666666666667,3.9647058823529413,1,,0.3,0.7
CPI,1,0.15333333333333332,1.0,1,,0.3,0.75
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.3,0.75
CPI,3,0.3,1.7444444444444445,1,,0.3,0.75
CPI,4,0.36,2.1203703703703702,1,,0.3,0.75
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.3,0.75
CPI,6,0.43,2.643410852713178,1,,0.3,0.75
CPI,7,0.46,2.927536231884058,1,,0.3,0.75
CPI,8,0.49,3.238095238095238,1,,0.3,0.75
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.3,0.75
CPI,10,0.55,3.909090909090909,1,,0.3,0.75
CPI,1,0.15333333333333332,1.0,1,,0.3,0.8
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.3,0.8
CPI,3,0.3,1.7444444444444445,1,,0.3,0.8
CPI,4,0.36,2.1203703703703702,1,,0.3,0.8
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.3,0.8
CPI,6,0.43,2.643410852713178,1,,0.3,0.8
CPI,7,0.46,2.927536231884058,1,,0.3,0.8
CPI,8,0.49,3.238095238095238,1,,0.3,0.8
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.3,0.8
CPI,10,0.55,3.909090909090909,1,,0.3,0.8
CPI,1,0.12,1.0,1,,0.3,0.85
CPI,2,0.19,1.368421052631579,1,,0.3,0.85
CPI,3,0.25,1.76,1,,0.3,0.85
CPI,4,0.32,2.25,1,,0.3,0.85
CPI,5,0.3466666666666667,2.4615384615384617,1,,0.3,0.85
CPI,6,0.37666666666666665,2.743362831858407,1,,0.3,0.85
CPI,7,0.4033333333333333,3.024793388429752,1,,0.3,0.85
CPI,8,0.42333333333333334,3.2598425196850394,1,,0.3,0.85
CPI,9,0.4533333333333333,3.639705882352941,1,,0.3,0.85
CPI,10,0.4766666666666667,3.9510489510489513,1,,0.3,0.85
CPI,1,0.12666666666666668,1.0,1,,0.3,0.9
CPI,2,0.17333333333333334,1.2692307692307692,1,,0.3,0.9
CPI,3,0.24,1.75,1,,0.3,0.9
CPI,4,0.28,2.0714285714285716,1,,0.3,0.9
CPI,5,0.31333333333333335,2.382978723404255,1,,0.3,0.9
CPI,6,0.36666666666666664,2.909090909090909,1,,0.3,0.9
CPI,7,0.38666666666666666,3.1206896551724137,1,,0.3,0.9
CPI,8,0.42333333333333334,3.543307086614173,1,,0.3,0.9
CPI,9,0.4533333333333333,3.9044117647058822,1,,0.3,0.9
CPI,10,0.48,4.243055555555555,1,,0.3,0.9
CPI,1,0.16,1.0,1,,0.35,0.7
CPI,2,0.25,1.36,1,,0.35,0.7
CPI,3,0.3,1.6333333333333333,1,,0.35,0.7
CPI,4,0.35333333333333333,1.990566037735849,1,,0.35,0.7
CPI,5,0.41,2.4065040650406506,1,,0.35,0.7
CPI,6,0.44333333333333336,2.6766917293233083,1,,0.35,0.7
CPI,7,0.4633333333333333,2.8633093525179856,1,,0.35,0.7
CPI,8,0.5066666666666667,3.3026315789473686,1,,0.35,0.7
CPI,9,0.5333333333333333,3.5875,1,,0.35,0.7
CPI,10,0.5666666666666667,3.9647058823529413,1,,0.35,0.7
CPI,1,0.15333333333333332,1.0,1,,0.35,0.75
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.35,0.75
CPI,3,0.3,1.7444444444444445,1,,0.35,0.75
CPI,4,0.36,2.1203703703703702,1,,0.35,0.75
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.35,0.75
CPI,6,0.43,2.643410852713178,1,,0.35,0.75
CPI,7,0.46,2.927536231884058,1,,0.35,0.75
CPI,8,0.49,3.238095238095238,1,,0.35,0.75
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.35,0.75
CPI,10,0.55,3.909090909090909,1,,0.35,0.75
CPI,1,0.15333333333333332,1.0,1,,0.35,0.8
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.35,0.8
CPI,3,0.3,1.7444444444444445,1,,0.35,0.8
CPI,4,0.36,2.1203703703703702,1,,0.35,0.8
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.35,0.8
CPI,6,0.43,2.643410852713178,1,,0.35,0.8
CPI,7,0.46,2.927536231884058,1,,0.35,0.8
CPI,8,0.49,3.238095238095238,1,,0.35,0.8
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.35,0.8
CPI,10,0.55,3.909090909090909,1,,0.35,0.8
CPI,1,0.12,1.0,1,,0.35,0.85
CPI,2,0.19,1.368421052631579,1,,0.35,0.85
CPI,3,0.25,1.76,1,,0.35,0.85
CPI,4,0.32,2.25,1,,0.35,0.85
CPI,5,0.3466666666666667,2.4615384615384617,1,,0.35,0.85
CPI,6,0.37666666666666665,2.743362831858407,1,,0.35,0.85
CPI,7,0.4033333333333333,3.024793388429752,1,,0.35,0.85
CPI,8,0.42333333333333334,3.2598425196850394,1,,0.35,0.85
CPI,9,0.4533333333333333,3.639705882352941,1,,0.35,0.85
CPI,10,0.4766666666666667,3.9510489510489513,1,,0.35,0.85
CPI,1,0.12666666666666668,1.0,1,,0.35,0.9
CPI,2,0.17333333333333334,1.2692307692307692,1,,0.35,0.9
CPI,3,0.24,1.75,1,,0.35,0.9
CPI,4,0.28,2.0714285714285716,1,,0.35,0.9
CPI,5,0.31333333333333335,2.382978723404255,1,,0.35,0.9
CPI,6,0.36666666666666664,2.909090909090909,1,,0.35,0.9
CPI,7,0.38666666666666666,3.1206896551724137,1,,0.35,0.9
CPI,8,0.42333333333333334,3.543307086614173,1,,0.35,0.9
CPI,9,0.4533333333333333,3.9044117647058822,1,,0.35,0.9
CPI,10,0.48,4.243055555555555,1,,0.35,0.9
CPI,1,0.16,1.0,1,,0.4,0.7
CPI,2,0.25,1.36,1,,0.4,0.7
CPI,3,0.3,1.6333333333333333,1,,0.4,0.7
CPI,4,0.35333333333333333,1.990566037735849,1,,0.4,0.7
CPI,5,0.41,2.4065040650406506,1,,0.4,0.7
CPI,6,0.44333333333333336,2.6766917293233083,1,,0.4,0.7
CPI,7,0.4633333333333333,2.8633093525179856,1,,0.4,0.7
CPI,8,0.5066666666666667,3.3026315789473686,1,,0.4,0.7
CPI,9,0.5333333333333333,3.5875,1,,0.4,0.7
CPI,10,0.5666666666666667,3.9647058823529413,1,,0.4,0.7
CPI,1,0.15333333333333332,1.0,1,,0.4,0.75
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.4,0.75
CPI,3,0.3,1.7444444444444445,1,,0.4,0.75
CPI,4,0.36,2.1203703703703702,1,,0.4,0.75
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.4,0.75
CPI,6,0.43,2.643410852713178,1,,0.4,0.75
CPI,7,0.46,2.927536231884058,1,,0.4,0.75
CPI,8,0.49,3.238095238095238,1,,0.4,0.75
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.4,0.75
CPI,10,0.55,3.909090909090909,1,,0.4,0.75
CPI,1,0.15333333333333332,1.0,1,,0.4,0.8
CPI,2,0.22333333333333333,1.3134328358208955,1,,0.4,0.8
CPI,3,0.3,1.7444444444444445,1,,0.4,0.8
CPI,4,0.36,2.1203703703703702,1,,0.4,0.8
CPI,5,0.4066666666666667,2.4508196721311477,1,,0.4,0.8
CPI,6,0.43,2.643410852713178,1,,0.4,0.8
CPI,7,0.46,2.927536231884058,1,,0.4,0.8
CPI,8,0.49,3.238095238095238,1,,0.4,0.8
CPI,9,0.5266666666666666,3.6392405063291138,1,,0.4,0.8
CPI,10,0.55,3.909090909090909,1,,0.4,0.8
CPI,1,0.12,1.0,1,,0.4,0.85
CPI,2,0.19,1.368421052631579,1,,0.4,0.85
CPI,3,0.25,1.76,1,,0.4,0.85
CPI,4,0.32,2.25,1,,0.4,0.85
CPI,5,0.3466666666666667,2.4615384615384617,1,,0.4,0.85
CPI,6,0.37666666666666665,2.743362831858407,1,,0.4,0.85
CPI,7,0.4033333333333333,3.024793388429752,1,,0.4,0.85
CPI,8,0.42333333333333334,3.2598425196850394,1,,0.4,0.85
CPI,9,0.4533333333333333,3.639705882352941,1,,0.4,0.85
CPI,10,0.4766666666666667,3.9510489510489513,1,,0.4,0.85
CPI,1,0.12666666666666668,1.0,1,,0.4,0.9
CPI,2,0.17333333333333334,1.2692307692307692,1,,0.4,0.9
CPI,3,0.24,1.75,1,,0.4,0.9
CPI,4,0.28,2.0714285714285716,1,,0.4,0.9
CPI,5,0.31333333333333335,2.382978723404255,1,,0.4,0.9
CPI,6,0.36666666666666664,2.909090909090909,1,,0.4,0.9
CPI,7,0.38666666666666666,3.1206896551724137,1,,0.4,0.9
CPI,8,0.42333333333333334,3.543307086614173,1,,0.4,0.9
CPI,9,0.4533333333333333,3.9044117647058822,1,,0.4,0.9
CPI,10,0.48,4.243055555555555,1,,0.4,0.9
